matricula;estado;lat;long
8099WBE;0;37.7062;3.07696;
2862NRY;2;37.0744;3.44239;
0981WCB;2;37.5056;3.1021;
1612JUX;1;37.1807;3.60838;
8896ISX;1;37.6119;3.31772;
0831ERD;1;37.3817;3.22123;
9410OIG;1;37.8026;3.60846;
6427MRF;1;37.5326;3.68871;
9662PKX;3;37.4947;3.90644;
6718TOC;0;37.1512;3.75201;
4589QWW;2;37.7952;3.59327;
0366XCR;0;37.1153;3.38701;
7701RRR;0;37.8098;3.28636;
0609VSJ;3;37.0512;3.51877;
5801VLD;2;37.5085;3.66142;
7709OTQ;1;37.9236;3.69082;
6886FBS;2;37.5849;3.41714;
6596IUK;0;37.3597;3.58253;
0172MWM;3;37.9334;3.62383;
3771DCY;0;37.9453;3.36637;
5574BJD;1;37.1146;3.54008;
9079KPH;0;37.1822;3.05735;
6565ORC;2;37.3996;3.83406;
8005DBT;0;37.5299;3.50901;
5604DXQ;0;37.237;3.28712;
1947ZSC;1;37.0927;3.78705;
6166XVD;0;37.5431;3.54407;
2135ZOS;1;37.8668;3.78954;
2616HOY;3;37.4225;3.08384;
9776VSR;0;37.0963;3.75893;
5480PXQ;3;37.6728;3.32885;
3916BWC;1;37.7138;3.85981;
5364FNA;1;37.2721;3.20657;
8666GUR;3;37.9391;3.42075;
4218QGC;2;37.8487;3.0581;
5743BDW;1;37.3891;3.56613;
7883SXL;2;37.9262;3.52211;
0052UME;1;37.989;3.65658;
7231HKJ;2;37.8488;3.86564;
8066QEF;1;37.5788;3.28791;
0506LOE;1;37.386;3.5259;
8541CWE;1;37.9368;3.04747;
3049YGR;2;37.1909;3.40788;
1013UKS;2;37.8763;3.08219;
4189DJX;3;37.5291;3.40851;
8552KRW;0;37.177;3.11747;
6947OIX;2;37.0176;3.77505;
2022ZRD;2;37.685;3.30968;
9096TMK;3;37.6241;3.21021;
3207XJV;2;37.0363;3.22268;
2786CDD;3;37.7726;3.40268;
7309SBZ;0;37.3259;3.96081;
1872FAP;3;37.4998;3.8731;
6224HSQ;2;37.5202;3.49128;
2912WPD;3;37.4361;3.43667;
0919LVR;2;37.583;3.25883;
4838RSS;3;37.8014;3.06781;
9352BBQ;2;37.5278;3.47922;
9203FZM;0;37.781;3.6275;
3048OFT;3;37.8771;3.08544;
1196SCJ;2;37.506;3.38261;
1534YED;2;37.3777;3.33085;
2539TJM;0;37.9806;3.73116;
6947FMP;2;37.5232;3.65308;
7472QDC;1;37.7835;3.27888;
0855RVJ;0;37.1956;3.97938;
7073JIQ;1;37.3724;3.93077;
4601ZOH;1;37.0032;3.94686;
2857OZK;1;37.8318;3.82847;
0867TDQ;3;37.3957;3.16572;
2792EQL;3;37.0738;3.64042;
6414VBP;2;37.162;3.81438;
0108QHZ;2;37.7166;3.99521;
3333LNH;0;37.7993;3.32367;
3195DDM;0;37.687;3.29997;
4144LOO;0;37.0961;3.79135;
0243NHR;1;37.8604;3.83078;
4736KJL;1;37.1919;3.15149;
0836EAA;2;37.2047;3.31884;
5949GHD;1;37.5648;3.26269;
1725LXI;2;37.019;3.00658;
8413WSJ;2;37.0402;3.50542;
4840HJZ;2;37.9758;3.84009;
5218ZUD;3;37.0903;3.81675;
2234XHG;0;37.7061;3.16555;
9326PMP;1;37.7464;3.12663;
9692CWA;3;37.9696;3.90592;
4269SDA;2;37.2178;3.03461;
2077SWL;3;37.5009;3.88304;
3072QJD;0;37.5863;3.44702;
6244RKZ;1;37.8683;3.29738;
1598ATC;3;37.2793;3.58849;
4642QTN;3;37.4316;3.67901;
6822WYH;0;37.3322;3.5691;
2441WUB;1;37.4966;3.51728;
9603GEM;1;37.5378;3.20021;
9462EAC;1;37.5866;3.03686;
3987MIW;3;37.0477;3.49931;
7079SLO;2;37.8267;3.34366;
6642KAP;2;37.7179;3.88324;
4302UFG;2;37.5076;3.53548;
0607VKL;3;37.9769;3.4747;
1727QJC;1;37.039;3.86947;
8931FHS;0;37.3838;3.66047;
8680TUH;2;37.2282;3.78249;
4999GVK;0;37.4745;3.3357;
0395KAX;2;37.0088;3.76865;
0479TOH;0;37.7745;3.76241;
8937WEF;2;37.0344;3.52142;
4385EQL;1;37.0117;3.9495;
4563WTK;1;37.7081;3.12079;
3709JBT;2;37.5668;3.34118;
5386KDU;0;37.6787;3.3869;
2120EWY;2;37.3397;3.76581;
1454JEB;2;37.4394;3.49231;
0108VWN;2;37.3861;3.64317;
1473DLD;1;37.3542;3.39117;
8765BKZ;2;37.7279;3.44916;
9651LIZ;0;37.0588;3.49958;
0187OBR;1;37.9901;3.53647;
1720UUG;2;37.073;3.82207;
7972SEL;2;37.6063;3.23428;
0330GHO;3;37.5847;3.49988;
8233SQJ;2;37.1036;3.52228;
5732ETS;3;37.4648;3.90547;
4337OKD;0;37.101;3.94256;
6820RTI;2;37.4036;3.09665;
7450YBG;0;37.3817;3.0243;
7530MJA;1;37.5762;3.61357;
3766DFP;3;37.1033;3.52881;
3279FRI;3;37.5861;3.35051;
0163PGK;0;37.8119;3.52715;
8194PQX;0;37.4761;3.4632;
7926WDX;3;37.3439;3.11547;
8924YWM;3;37.4026;3.86725;
8667IXO;1;37.2285;3.30709;
9913ZIN;0;37.9004;3.93254;
0902FDI;1;37.929;3.57103;
4060CYJ;0;37.5178;3.4287;
0021CFD;3;37.5808;3.52511;
8239SAC;3;37.1413;3.54578;
5264KWO;1;37.5937;3.04267;
5467YQT;3;37.8013;3.47051;
8611FZW;1;37.7219;3.87622;
9227UAU;2;37.7477;3.50441;
8675SLN;3;37.3343;3.85399;
4637IGS;2;37.8079;3.79313;
2454PVO;1;37.8559;3.58905;
8207JGW;2;37.7931;3.85852;
3796WJC;0;37.5836;3.67547;
3570DDJ;1;37.5793;3.64161;
4814XOY;1;37.3787;3.16789;
0221CWQ;1;37.7444;3.17587;
6646PZT;0;37.4357;3.86741;
9460PTO;1;37.6183;3.05015;
9353ENE;2;37.6657;3.69935;
5539NKY;2;37.3199;3.31905;
5283HDH;3;37.8852;3.46144;
0417HBX;1;37.0914;3.36134;
8222DFQ;1;37.9618;3.88743;
3121UTP;3;37.0418;3.30849;
1724ARZ;1;37.1251;3.03807;
9321VFT;2;37.0833;3.32822;
1953RKY;0;37.1858;3.209;
6788NGR;1;37.2808;3.53311;
5720MLB;3;37.8751;3.53051;
0555WKP;1;37.4128;3.45834;
2240IHY;0;37.5712;3.32096;
2014KSC;3;37.4637;3.55614;
3349TRF;0;37.8505;3.83952;
5209QTP;0;37.9627;3.36229;
5318MRQ;0;37.8878;3.06502;
3898BWF;1;37.0385;3.44752;
7079AJK;3;37.6146;3.29961;
2894RPH;1;37.3873;3.32249;
7857OYB;1;37.7187;3.38989;
4431IFS;0;37.129;3.78812;
6867WBU;2;37.345;3.45722;
8433RSQ;1;37.3325;3.2988;
7020PAN;2;37.132;3.29952;
6622BOO;3;37.2067;3.35648;
6310EHU;0;37.9152;3.8623;
6970QHQ;1;37.4572;3.75199;
3597ZMX;3;37.6358;3.03378;
2614GPP;0;37.6526;3.02221;
8625AQM;2;37.7988;3.95723;
0921UUE;3;37.7607;3.27146;
9020EDM;1;37.7099;3.27802;
0962BMF;1;37.9804;3.75425;
1645AIF;0;37.1266;3.07829;
2376PTT;1;37.9135;3.1912;
5223SXZ;3;37.1769;3.84644;
8642RQA;3;37.6315;3.21642;
8417IKW;2;37.5852;3.08233;
1163HIZ;0;37.0414;3.84282;
6460DJS;1;37.2748;3.43715;
9002XSR;3;37.1015;3.13164;
5381DHG;0;37.3222;3.11724;
0248GFV;0;37.6481;3.85484;
6646BYU;0;37.0422;3.2253;
9369UVH;0;37.0592;3.033;
0975DLC;1;37.1896;3.05055;
3727HLH;3;37.6202;3.63296;
8867HWK;0;37.9102;3.12226;
1190OJD;1;37.289;3.94236;
2116CEF;0;37.1758;3.95896;
7283PAN;0;37.5194;3.45599;
4023YWC;2;37.7378;3.59869;
8430SMA;0;37.353;3.68086;
4773CAF;1;37.6656;3.09028;
8610GEM;2;37.7909;3.60209;
7800CWU;1;37.836;3.02986;
3330MJB;1;37.5173;3.04464;
2726ZYY;1;37.7188;3.42515;
7787QRU;0;37.2885;3.90697;
1336KJY;1;37.1149;3.74195;
2706NHE;3;37.6503;3.55116;
7247JKC;1;37.3438;3.07219;
2425QUD;2;37.6354;3.44977;
1123GLI;2;37.6883;3.11525;
9314HEG;3;37.9608;3.75266;
6850XAS;2;37.0304;3.14483;
0002JEU;2;37.4755;3.35976;
1422MXW;1;37.4595;3.46203;
4002SKK;2;37.0465;3.75983;
1424FYQ;3;37.4048;3.26844;
1383LOK;3;37.1485;3.9832;
4034UIO;0;37.971;3.25098;
8213SGX;2;37.519;3.8626;
4904STO;1;37.0588;3.20508;
6489VIX;1;37.9279;3.37554;
8822ZSU;2;37.5144;3.43593;
1813YBQ;3;37.0884;3.87016;
5655UIJ;1;37.7438;3.25004;
5857WBF;1;37.0953;3.7772;
1702MLJ;3;37.3027;3.55221;
6983QQW;1;37.7679;3.82259;
8105JTA;0;37.4038;3.57803;
8399RBA;2;37.7595;3.80206;
8457UHH;0;37.5342;3.50792;
4234FCX;2;37.9721;3.53816;
4165INA;0;37.382;3.67089;
4411BLI;1;37.4228;3.09092;
2987OBZ;3;37.0872;3.1821;
9555SVF;1;37.8598;3.13673;
6117QJL;0;37.319;3.13573;
2880WQP;1;37.2154;3.06193;
3268URV;1;37.6568;3.75545;
8871VJO;0;37.7623;3.01195;
7137PHR;3;37.3965;3.62044;
4432WRB;0;37.9283;3.70313;
0418VHX;0;37.7496;3.24436;
8803PCM;0;37.3911;3.39175;
3316DLR;1;37.5652;3.68988;
4218QUR;1;37.5033;3.4387;
0513ION;1;37.6098;3.641;
4837CUS;3;37.6498;3.03675;
2803GUB;1;37.8228;3.0308;
9650VXX;2;37.11;3.69288;
8621VAT;0;37.2917;3.15433;
8758KXO;1;37.704;3.99813;
5332MGI;1;37.9054;3.67985;
1295VQD;3;37.6281;3.10257;
8073QRC;0;37.0198;3.2076;
0453MRU;0;37.2235;3.88906;
